session_test_id,device,age,gender,matr,trial_id,rating_item,rating_score,reversed,rating_time,rating_comment
masterthesis_quality,headphones,27,male,,quality_f1_i,Breathiness,-2,0,14684,
masterthesis_quality,headphones,27,male,,quality_f1_i,Roughness,-1,0,14684,
masterthesis_quality,headphones,27,male,,quality_f1_i,Brightness,-2,0,14684,
masterthesis_quality,headphones,27,male,,quality_f1_i,Naturalness,-2,0,14684,
masterthesis_quality,headphones,27,male,,quality_m5_a,Breathiness,2,1,13874,
masterthesis_quality,headphones,27,male,,quality_m5_a,Roughness,3,1,13874,
masterthesis_quality,headphones,27,male,,quality_m5_a,Brightness,2,1,13874,
masterthesis_quality,headphones,27,male,,quality_m5_a,Naturalness,3,1,13874,
masterthesis_quality,headphones,27,male,,quality_m1_o,Breathiness,-3,0,9234,
masterthesis_quality,headphones,27,male,,quality_m1_o,Roughness,-3,0,9234,
masterthesis_quality,headphones,27,male,,quality_m1_o,Brightness,-2,0,9234,
masterthesis_quality,headphones,27,male,,quality_m1_o,Naturalness,-3,0,9234,
masterthesis_quality,headphones,27,male,,quality_m2_a,Breathiness,1,1,14280,
masterthesis_quality,headphones,27,male,,quality_m2_a,Roughness,2,1,14280,
masterthesis_quality,headphones,27,male,,quality_m2_a,Brightness,1,1,14280,
masterthesis_quality,headphones,27,male,,quality_m2_a,Naturalness,2,1,14280,
masterthesis_quality,headphones,27,male,,quality_m1_i,Breathiness,-1,0,11556,
masterthesis_quality,headphones,27,male,,quality_m1_i,Roughness,-3,0,11556,
masterthesis_quality,headphones,27,male,,quality_m1_i,Brightness,-2,0,11556,
masterthesis_quality,headphones,27,male,,quality_m1_i,Naturalness,-2,0,11556,
masterthesis_quality,headphones,27,male,,quality_m5_i,Breathiness,-2,0,6039,
masterthesis_quality,headphones,27,male,,quality_m5_i,Roughness,-3,0,6039,
masterthesis_quality,headphones,27,male,,quality_m5_i,Brightness,-2,0,6039,
masterthesis_quality,headphones,27,male,,quality_m5_i,Naturalness,-3,0,6039,
masterthesis_quality,headphones,27,male,,quality_m8_a,Breathiness,-1,0,10108,
masterthesis_quality,headphones,27,male,,quality_m8_a,Roughness,-1,0,10108,
masterthesis_quality,headphones,27,male,,quality_m8_a,Brightness,-1,0,10108,
masterthesis_quality,headphones,27,male,,quality_m8_a,Naturalness,-1,0,10108,
masterthesis_quality,headphones,27,male,,quality_f8_o,Breathiness,1,1,10340,
masterthesis_quality,headphones,27,male,,quality_f8_o,Roughness,1,1,10340,
masterthesis_quality,headphones,27,male,,quality_f8_o,Brightness,2,1,10340,
masterthesis_quality,headphones,27,male,,quality_f8_o,Naturalness,2,1,10340,
masterthesis_quality,headphones,27,male,,quality_f5_o,Breathiness,-1,0,13839,
masterthesis_quality,headphones,27,male,,quality_f5_o,Roughness,0,0,13839,
masterthesis_quality,headphones,27,male,,quality_f5_o,Brightness,-1,0,13839,
masterthesis_quality,headphones,27,male,,quality_f5_o,Naturalness,-1,0,13839,
masterthesis_quality,headphones,27,male,,quality_m8_o,Breathiness,1,1,13827,
masterthesis_quality,headphones,27,male,,quality_m8_o,Roughness,2,1,13827,
masterthesis_quality,headphones,27,male,,quality_m8_o,Brightness,1,1,13827,
masterthesis_quality,headphones,27,male,,quality_m8_o,Naturalness,1,1,13827,
masterthesis_quality,headphones,27,male,,quality_f6_i,Breathiness,-2,0,13267,
