ID,Gender,Vowel,Quality,Rating
1,female,i,Breathiness,-2
1,male,a,Breathiness,-2
1,male,o,Breathiness,-3
1,male,a,Breathiness,-1
1,male,i,Breathiness,-1
1,male,i,Breathiness,-2
1,male,a,Breathiness,-1
1,female,o,Breathiness,-1
1,female,o,Breathiness,-1
1,male,o,Breathiness,-1
1,female,i,Breathiness,-2
1,female,i,Breathiness,-2
1,female,i,Breathiness,-1
1,female,i,Breathiness,0
1,male,a,Breathiness,-1
1,female,o,Breathiness,-3
1,female,o,Breathiness,-3
1,female,a,Breathiness,-3
1,male,o,Breathiness,-1
1,female,a,Breathiness,-2
1,female,a,Breathiness,-3
1,male,i,Breathiness,-1
1,female,a,Breathiness,-3
1,male,o,Breathiness,-1
1,male,i,Breathiness,-1
1,female,a,Breathiness,-2
1,male,a,Breathiness,-1
1,male,i,Breathiness,-3
1,female,o,Breathiness,-2
1,male,o,Breathiness,-1
2,female,i,Breathiness,-3
2,male,a,Breathiness,-2
2,male,o,Breathiness,-1
2,male,o,Breathiness,-2
2,male,i,Breathiness,-2
2,female,a,Breathiness,-2
2,male,a,Breathiness,-2
2,female,o,Breathiness,-2
2,male,i,Breathiness,-1
2,male,o,Breathiness,-1
2,female,a,Breathiness,-2
2,male,o,Breathiness,-1
2,male,i,Breathiness,-2
2,female,i,Breathiness,-2
2,female,o,Breathiness,-1
2,female,o,Breathiness,-1
2,female,a,Breathiness,-2
2,male,i,Breathiness,-1
2,female,i,Breathiness,-1
2,male,i,Breathiness,-2
2,female,i,Breathiness,-1
2,female,a,Breathiness,-2
2,male,o,Breathiness,-1
2,female,i,Breathiness,-1
2,male,a,Breathiness,-1
2,male,a,Breathiness,-1
2,female,a,Breathiness,-2
2,female,o,Breathiness,-1
2,male,a,Breathiness,-2
2,female,o,Breathiness,-1
3,male,o,Breathiness,2
3,female,i,Breathiness,-1
3,male,a,Breathiness,4
3,male,o,Breathiness,4
3,female,o,Breathiness,-2
3,male,i,Breathiness,4
3,female,a,Breathiness,1
3,male,o,Breathiness,2
3,male,i,Breathiness,1
3,male,a,Breathiness,2
3,male,i,Breathiness,1
3,female,a,Breathiness,1
3,male,o,Breathiness,3
3,female,a,Breathiness,3
3,female,a,Breathiness,1
3,female,i,Breathiness,-1
3,female,i,Breathiness,1
3,female,i,Breathiness,2
3,female,o,Breathiness,1
3,male,a,Breathiness,2
3,female,i,Breathiness,1
3,female,o,Breathiness,0
3,male,a,Breathiness,0
3,female,o,Breathiness,1
3,male,a,Breathiness,2
3,male,i,Breathiness,1
3,female,a,Breathiness,-1
3,male,o,Breathiness,1
3,female,o,Breathiness,2
3,male,i,Breathiness,-2
4,male,o,Breathiness,-3
4,female,a,Breathiness,-3
4,female,a,Breathiness,-4
4,female,o,Breathiness,-3
4,female,o,Breathiness,-3
4,female,i,Breathiness,-2
4,male,i,Breathiness,-2
4,female,i,Breathiness,-2
4,female,i,Breathiness,-2
4,male,a,Breathiness,-3
4,male,i,Breathiness,-4
4,male,a,Breathiness,-4
4,female,o,Breathiness,-3
4,male,a,Breathiness,-3
4,female,i,Breathiness,-3
4,female,o,Breathiness,-4
4,male,o,Breathiness,-4
4,male,a,Breathiness,-2
4,male,i,Breathiness,-3
4,female,a,Breathiness,-4
4,female,i,Breathiness,-3
4,male,o,Breathiness,-3
4,male,o,Breathiness,-3
4,male,a,Breathiness,-3
4,female,o,Breathiness,-4
4,male,i,Breathiness,-2
4,male,i,Breathiness,-4
4,female,a,Breathiness,-4
4,female,a,Breathiness,-3
4,male,o,Breathiness,-3
5,male,i,Breathiness,-3
5,male,a,Breathiness,-2
5,male,i,Breathiness,-3
5,male,a,Breathiness,-3
5,male,o,Breathiness,-4
5,female,a,Breathiness,-4
5,female,o,Breathiness,-3
5,female,i,Breathiness,-2
5,male,a,Breathiness,3
5,male,i,Breathiness,-3
5,female,i,Breathiness,-2
5,female,o,Breathiness,-3
5,female,o,Breathiness,-2
5,female,o,Breathiness,-3
5,male,o,Breathiness,-3
5,female,i,Breathiness,-3
5,male,a,Breathiness,-3
5,male,i,Breathiness,-2
5,male,o,Breathiness,-2
5,male,o,Breathiness,-2
5,female,a,Breathiness,-2
5,female,i,Breathiness,-2
5,female,a,Breathiness,-3
5,male,a,Breathiness,-2
5,female,o,Breathiness,-2
5,female,a,Breathiness,-2
5,male,o,Breathiness,-2
5,male,i,Breathiness,-3
5,female,a,Breathiness,-3
5,female,i,Breathiness,-4
6,male,a,Breathiness,-2
6,female,o,Breathiness,-3
6,female,a,Breathiness,-1
6,female,i,Breathiness,-2
6,male,a,Breathiness,0
6,female,a,Breathiness,-1
6,male,i,Breathiness,0
6,male,a,Breathiness,0
6,male,o,Breathiness,-1
6,female,a,Breathiness,-1
6,male,i,Breathiness,-2
6,female,i,Breathiness,0
6,female,o,Breathiness,-2
6,male,i,Breathiness,-1
6,female,o,Breathiness,-2
6,female,a,Breathiness,-3
6,male,i,Breathiness,-2
6,female,o,Breathiness,-2
6,male,o,Breathiness,-2
6,female,i,Breathiness,-2
6,female,a,Breathiness,-2
6,female,i,Breathiness,-2
6,female,o,Breathiness,-1
6,male,o,Breathiness,-2
6,male,o,Breathiness,-2
6,male,o,Breathiness,0
6,male,a,Breathiness,-1
6,male,i,Breathiness,0
6,male,a,Breathiness,0
6,female,i,Breathiness,-1
7,male,a,Breathiness,0
7,female,i,Breathiness,-1
7,male,i,Breathiness,-2
7,male,a,Breathiness,0
7,female,a,Breathiness,0
7,female,i,Breathiness,-2
7,female,i,Breathiness,-2
7,female,i,Breathiness,0
7,female,a,Breathiness,-2
7,male,a,Breathiness,-2
7,female,o,Breathiness,-1
7,male,a,Breathiness,-1
7,female,a,Breathiness,-2
7,male,o,Breathiness,-2
7,male,i,Breathiness,-2
7,female,o,Breathiness,0
7,female,a,Breathiness,-1
7,male,a,Breathiness,-2
7,female,i,Breathiness,1
7,male,o,Breathiness,-2
7,male,i,Breathiness,-1
7,male,o,Breathiness,-2
7,female,o,Breathiness,-2
7,male,i,Breathiness,-2
7,female,a,Breathiness,-1
7,male,o,Breathiness,-2
7,female,o,Breathiness,-2
7,female,o,Breathiness,-1
7,male,i,Breathiness,-1
7,male,o,Breathiness,-1
8,male,o,Breathiness,0
8,male,o,Breathiness,-2
8,female,o,Breathiness,-3
