ID,Gender,Vowel,Quality,Rating
1,female,i,Roughness,-1
1,male,a,Roughness,-3
1,male,o,Roughness,-3
1,male,a,Roughness,-2
1,male,i,Roughness,-3
1,male,i,Roughness,-3
1,male,a,Roughness,-1
1,female,o,Roughness,-1
1,female,o,Roughness,0
1,male,o,Roughness,-2
1,female,i,Roughness,-1
1,female,i,Roughness,-1
1,female,i,Roughness,-2
1,female,i,Roughness,0
1,male,a,Roughness,-3
1,female,o,Roughness,0
1,female,o,Roughness,-1
1,female,a,Roughness,-2
1,male,o,Roughness,-4
1,female,a,Roughness,-2
1,female,a,Roughness,0
1,male,i,Roughness,-3
1,female,a,Roughness,-1
1,male,o,Roughness,-3
1,male,i,Roughness,-3
1,female,a,Roughness,-1
1,male,a,Roughness,-3
1,male,i,Roughness,-3
1,female,o,Roughness,-1
1,male,o,Roughness,-4
2,female,i,Roughness,3
2,male,a,Roughness,3
2,male,o,Roughness,3
2,male,o,Roughness,2
2,male,i,Roughness,2
2,female,a,Roughness,1
2,male,a,Roughness,3
2,female,o,Roughness,1
2,male,i,Roughness,1
2,male,o,Roughness,1
2,female,a,Roughness,1
2,male,o,Roughness,1
2,male,i,Roughness,1
2,female,i,Roughness,1
2,female,o,Roughness,1
2,female,o,Roughness,1
2,female,a,Roughness,1
2,male,i,Roughness,1
2,female,i,Roughness,1
2,male,i,Roughness,1
2,female,i,Roughness,1
2,female,a,Roughness,1
2,male,o,Roughness,1
2,female,i,Roughness,1
2,male,a,Roughness,2
2,male,a,Roughness,2
2,female,a,Roughness,2
2,female,o,Roughness,0
2,male,a,Roughness,1
2,female,o,Roughness,2
3,male,o,Roughness,-3
3,female,i,Roughness,-2
3,male,a,Roughness,1
3,male,o,Roughness,2
3,female,o,Roughness,2
3,male,i,Roughness,-2
3,female,a,Roughness,-3
3,male,o,Roughness,-2
3,male,i,Roughness,-2
3,male,a,Roughness,-2
3,male,i,Roughness,-2
3,female,a,Roughness,-2
3,male,o,Roughness,-2
3,female,a,Roughness,-1
3,female,a,Roughness,-2
3,female,i,Roughness,-2
3,female,i,Roughness,-2
3,female,i,Roughness,-2
3,female,o,Roughness,-2
3,male,a,Roughness,-2
3,female,i,Roughness,-2
3,female,o,Roughness,-2
3,male,a,Roughness,-2
3,female,o,Roughness,-3
3,male,a,Roughness,-1
3,male,i,Roughness,-3
3,female,a,Roughness,-2
3,male,o,Roughness,-1
3,female,o,Roughness,-2
3,male,i,Roughness,-2
4,male,o,Roughness,-2
4,female,a,Roughness,-3
4,female,a,Roughness,-3
4,female,o,Roughness,-3
4,female,o,Roughness,-2
4,female,i,Roughness,3
4,male,i,Roughness,-3
4,female,i,Roughness,-3
4,female,i,Roughness,-3
4,male,a,Roughness,-2
4,male,i,Roughness,2
4,male,a,Roughness,-2
4,female,o,Roughness,-1
4,male,a,Roughness,-2
4,female,i,Roughness,-2
4,female,o,Roughness,-2
4,male,o,Roughness,-2
4,male,a,Roughness,-3
4,male,i,Roughness,-2
4,female,a,Roughness,-3
4,female,i,Roughness,-2
4,male,o,Roughness,-3
4,male,o,Roughness,-3
4,male,a,Roughness,-3
4,female,o,Roughness,-3
4,male,i,Roughness,-3
4,male,i,Roughness,-3
4,female,a,Roughness,-3
4,female,a,Roughness,-3
4,male,o,Roughness,-4
5,male,i,Roughness,-1
5,male,a,Roughness,2
5,male,i,Roughness,1
5,male,a,Roughness,-1
5,male,o,Roughness,-2
5,female,a,Roughness,-2
5,female,o,Roughness,-2
5,female,i,Roughness,-1
5,male,a,Roughness,2
5,male,i,Roughness,-3
5,female,i,Roughness,-1
5,female,o,Roughness,-2
5,female,o,Roughness,-1
5,female,o,Roughness,-2
5,male,o,Roughness,-1
5,female,i,Roughness,-2
5,male,a,Roughness,-2
5,male,i,Roughness,-2
5,male,o,Roughness,-3
5,male,o,Roughness,-3
5,female,a,Roughness,-2
5,female,i,Roughness,-1
5,female,a,Roughness,-3
5,male,a,Roughness,-2
5,female,o,Roughness,-1
5,female,a,Roughness,-1
5,male,o,Roughness,-1
5,male,i,Roughness,-2
5,female,a,Roughness,-2
5,female,i,Roughness,-2
6,male,a,Roughness,2
6,female,o,Roughness,3
6,female,a,Roughness,4
6,female,i,Roughness,3
6,male,a,Roughness,4
6,female,a,Roughness,3
6,male,i,Roughness,3
6,male,a,Roughness,2
6,male,o,Roughness,4
6,female,a,Roughness,3
6,male,i,Roughness,3
6,female,i,Roughness,2
6,female,o,Roughness,0
6,male,i,Roughness,4
6,female,o,Roughness,1
6,female,a,Roughness,3
6,male,i,Roughness,3
6,female,o,Roughness,3
6,male,o,Roughness,2
6,female,i,Roughness,3
6,female,a,Roughness,3
6,female,i,Roughness,4
6,female,o,Roughness,2
6,male,o,Roughness,3
6,male,o,Roughness,4
6,male,o,Roughness,4
6,male,a,Roughness,3
6,male,i,Roughness,2
6,male,a,Roughness,0
6,female,i,Roughness,2
7,male,a,Roughness,2
7,female,i,Roughness,-2
7,male,i,Roughness,-3
7,male,a,Roughness,-1
7,female,a,Roughness,0
7,female,i,Roughness,-1
7,female,i,Roughness,0
7,female,i,Roughness,2
7,female,a,Roughness,-2
7,male,a,Roughness,-1
7,female,o,Roughness,-2
7,male,a,Roughness,-2
7,female,a,Roughness,-2
7,male,o,Roughness,-2
7,male,i,Roughness,-1
7,female,o,Roughness,0
7,female,a,Roughness,1
7,male,a,Roughness,3
7,female,i,Roughness,0
7,male,o,Roughness,2
7,male,i,Roughness,1
7,male,o,Roughness,0
7,female,o,Roughness,2
7,male,i,Roughness,2
7,female,a,Roughness,-1
7,male,o,Roughness,-1
7,female,o,Roughness,-1
7,female,o,Roughness,-1
7,male,i,Roughness,3
7,male,o,Roughness,-1
8,male,o,Roughness,2
8,male,o,Roughness,1
8,female,o,Roughness,0
8,female,o,Roughness,2
8,male,i,Roughness,2
8,female,a,Roughness,1
8,male,i,Roughness,2
8,female,o,Roughness,2
8,male,o,Roughness,3
8,female,i,Roughness,3
8,male,o,Roughness,4
8,female,a,Roughness,1
8,male,i,Roughness,0
8,female,i,Roughness,1
8,female,a,Roughness,0
8,male,i,Roughness,0
8,male,a,Roughness,1
8,male,a,Roughness,1
